,Note that Apple returns only start in 1981!,,,,,,,,,
,,,,,,,,,,
,,,CAPM factor,incl. in FF3,incl. in FF3,incl. in FF5,incl. in FF5,,,
Month,AAPL return,RF,Mkt-RF,SMB,HML,RMW,CMA,,,
200611,13.05,0.42,1.71,0.83,0.07,0.2,-0.87,,,
200612,-7.44,0.4,0.87,-0.8,3.16,-0.73,2.05,,,
200701,1.05,0.44,1.4,0.06,-0.11,0.12,0.23,,,
200702,-1.31,0.38,-1.96,1.39,-0.09,-0.48,-0.75,,,
200703,9.81,0.43,0.68,0.05,-0.22,0.19,-0.61,,,
200704,7.42,0.44,3.49,-2.02,-1.15,0.95,1.01,,,
200705,21.43,0.41,3.24,0.3,-0.05,1.24,-1.3,,,
200706,0.70,0.4,-1.96,0.75,-1.13,0.41,0.07,,,
200707,7.96,0.4,-3.73,-2.89,-3.34,0.45,-1.04,,,
200708,5.10,0.42,0.92,-0.36,-2.24,-1.05,-0.55,,,
200709,10.82,0.32,3.22,-2.42,-1.87,-0.51,-3.17,,,
200710,23.77,0.32,1.8,0.03,-2.59,-0.2,-0.1,,,
200711,-4.07,0.34,-4.83,-2.85,-1.18,1.62,-0.33,,,
200712,8.70,0.27,-0.87,0.19,-0.52,0.87,-1.09,,,
200801,-31.66,0.21,-6.36,-0.52,3.65,1.89,2.2,,,
200802,-7.64,0.13,-3.09,-0.49,-0.95,0.83,-1.07,,,
200803,14.78,0.17,-0.93,0.7,-0.15,0.77,0.47,,,
200804,21.22,0.18,4.6,-1.11,-0.96,1.64,-2.56,,,
200805,8.51,0.18,1.86,3.23,-1.38,0.86,0.04,,,
200806,-11.29,0.17,-8.44,1.15,-2.43,4.39,-0.42,,,
200807,-5.07,0.15,-0.77,3.68,5.81,-0.95,1.07,,,
200808,6.66,0.13,1.53,3.42,1.56,1.74,0.81,,,
200809,-32.96,0.15,-9.24,0.38,6.33,2.81,1.8,,,
200810,-5.34,0.08,-17.23,-3.22,-2.89,3.42,1.87,,,
200811,-13.87,0.03,-7.86,-3.87,-5.94,4.82,2.72,,,
200812,-7.90,0,1.74,3.37,-0.24,0.13,-1.38,,,
200901,5.60,0,-8.12,-2.02,-11.1,0.38,-1.22,,,
200902,-0.91,0.01,-10.1,-1.15,-7.25,1.94,-1.14,,,
200903,17.70,0.02,8.95,0.63,3.53,-2.44,-2.25,,,
200904,19.70,0.01,10.19,6.71,5.46,0.25,0.17,,,
200905,7.93,0,5.21,-2.35,-0.21,-1.18,-2.13,,,
200906,4.87,0.01,0.43,2.32,-2.71,-0.92,-0.16,,,
200907,14.72,0.01,7.72,2.48,5.28,-0.47,3.21,,,
200908,2.95,0.01,3.33,-0.06,7.76,-3.05,3.19,,,
200909,10.19,0.01,4.08,2.75,0.92,1.68,0.38,,,
200910,1.70,0,-2.59,-4.76,-4.17,4.21,-1.67,,,
200911,6.05,0,5.56,-2.79,-0.17,0.72,0.16,,,
200912,5.41,0.01,2.75,6.27,0.01,0.73,-0.08,,,
201001,-8.86,0,-3.36,0.3,0.31,-1.32,0.44,,,
201002,6.54,0,3.4,1.46,3.16,-0.46,1.4,,,
201003,14.85,0.01,6.31,1.77,2.1,-0.62,1.71,,,
201004,11.10,0.01,2,5.05,2.81,0.91,1.7,,,
201005,-1.61,0.01,-7.89,0.04,-2.38,1.08,-0.22,,,
201006,-2.08,0.01,-5.56,-2.51,-4.5,-0.18,-1.54,,,
201007,2.27,0.01,6.93,0.07,-0.27,0.13,1.99,,,
201008,-5.50,0.01,-4.77,-3.13,-1.95,0.48,-1.7,,,
201009,16.72,0.01,9.54,3.73,-3.12,-0.09,0.49,,,
201010,6.07,0.01,3.88,0.79,-2.59,1.41,-0.22,,,
201011,3.38,0.01,0.6,3.6,-0.9,0.3,1.63,,,
201012,3.67,0.01,6.82,0.99,3.81,-3.53,3.22,,,
201101,5.20,0.01,1.99,-2.41,0.81,-0.8,0.69,,,
201102,4.09,0.01,3.49,1.64,1.09,-1.9,0.94,,,
201103,-1.33,0.01,0.45,2.66,-1.55,1.48,0,,,
